stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
AMB_201596,201596,Av. Castell de Barberà - Depuradora,Pal,41.5148206,2.1407866,,https://app.ambmobilitat.cat/stops/busamb:201596,0,,,0.0
AMB_201597,201597,Ronda Santa Maria - Arquímedes,Pal,41.5128087,2.1349575,,https://app.ambmobilitat.cat/stops/busamb:201597,0,,,0.0
AMB_201598,201598,Ronda Santa Maria - Ronda Indústria,Pal,41.5165267,2.1324073,,https://app.ambmobilitat.cat/stops/busamb:201598,0,,,0.0
AMB_201599,201599,Escola Miquel Martí i Pol,Pal,41.5236088,2.127806,,https://app.ambmobilitat.cat/stops/busamb:201599,0,,,0.0
AMB_201600,201600,Centre Cívic Ca n'Amiguet,Pal,41.5248786,2.1240992,,https://app.ambmobilitat.cat/stops/busamb:201600,0,,,0.0
AMB_201601,201601,Av. Salvatella - Gorgs Lladó,Pal,41.5178412,2.1541761,,https://app.ambmobilitat.cat/stops/busamb:201601,0,,,0.0
AMB_201602,201602,Av. Torre Mateu - Bellvei,Pal,41.5106154,2.1506873,,https://app.ambmobilitat.cat/stops/busamb:201602,0,,,0.0
BGE_5556,5556,Parada Nord (Eix Central - FGC),,41.5038567,2.1030879,,,0,,,0.0
CIN_2929,2929,Estació d'Autobusos de Sabadell,,41.5473251,2.1152577,,,0,,,0.0
CIN_2931,2931,Av. Barberà - Tetuan,,41.53825,2.1130099,,,0,,,0.0
CIN_2932,2932,Av. Barberà - Pl. Montserrat Roig,,41.5358734,2.1142406,,,0,,,0.0
CIN_4903,4903,Estació d'Autobusos de Terrassa,,41.5566559,2.0081382,,,0,,,0.0
CIN_4925,4925,Av. Barberà - Calders,,41.5352669,2.114605,,,0,,,0.0
CIN_4930,4930,Latorre - Fra Luis de León - Baixador,,41.5395164,2.113266,,,0,,,0.0
CIN_8804,8804,Vidal - Ctra. de Caldes,,41.5531006,2.1128831,,,0,,,0.0
CIN_9458,9458,Estació Rodalies Granollers Centre- Marquesina C,,41.5996132,2.2901452,,,0,,,0.0
CIN_9993,9993,Estació Rodalies Granollers Centre - Marquesina B,,41.599678,2.290669,,,0,,,0.0
FGC_AB,,Abrera,,41.5225614,1.9068054,,,0,,,0.0
FGC_BT,,Bellaterra,,41.5008584,2.0905566,,,0,,,0.0
FGC_CF,,Can Feu - Gràcia,,41.542523,2.1004639,,,0,,,0.0
FGC_CT,,La Creu Alta,,41.554954,2.100385,,,0,,,1.0
FGC_EN,,Terrassa  Estació del nord,,41.5701675,2.015487,,,0,,,0.0
FGC_FN,,Les Fonts,,41.5284698,2.0335822,,,0,,,0.0
FGC_NA,,Terrassa Nacions Unides,,41.5801339,2.0134592,,,0,,,0.0
FGC_NO,,Sabadell Nord,,41.561225,2.096657,,,0,,,1.0
FGC_PJ,,Sabadell Plaça Major,,41.5474198,2.1088815,,,0,,,0.0
FGC_PN,,Sabadell Parc del Nord,,41.571291,2.089499,,,0,,,1.0
FGC_SQ,,Sant Quirze,,41.5299916,2.0887225,,,0,,,0.0
FGC_TR,,Terrassa - Rambla,,41.5597463,2.0075253,,,0,,,0.0
FGC_UN,,Universitat Autònoma,,41.5028528,2.1025104,,,0,,,0.0
FGC_VP,,Vallparadís Universitat,,41.5633063,2.0190489,,,0,,,0.0
FYT_1680,1680,Gaig - Major,,41.5958519,2.1858029,,,0,,,0.0
FYT_1690,1690,Arquitecte Falguera - Rbla. del Sol,,41.5931702,2.1771462,,,0,,,0.0
FYT_1710,1710,Av. Diagonal - IES Ramon Casas i Carbó,,41.5901299,2.1769021,,,0,,,0.0
FYT_1720,1720,Av. Diagonal - Pl. Lluís Companys,,41.5886345,2.1759951,,,0,,,0.0
FYT_1725,1725,Av. Ebre - Ter,,41.5797195,2.1776209,,,0,,,0.0
FYT_1730,1730,Rbla. del Mestre Pere Pou - Carrerada,,41.5858612,2.1774349,,,0,,,0.0
FYT_1734,1734,Rbla. del Mestre Pere Pou - Can Cortès,,41.5834198,2.1780491,,,0,,,0.0
FYT_1740,1740,Camí de Can Llonc - St. Isidre,,41.5764923,2.1779001,,,0,,,0.0
FYT_1742,1742,Camí de Can Llonc - St. Isidre,,41.5764847,2.1768081,,,0,,,0.0
FYT_1743,1743,Folch i Torres - Can Cortès,,41.5836449,2.177166,,,0,,,0.0
FYT_1750,1750,Escola Josep Maria Folch i Torres,,41.586216,2.176333,,,0,,,0.0
FYT_1760,1760,Av. Ebre - Ter,,41.5795746,2.177542,,,0,,,0.0
FYT_1778,1778,Av. Diagonal - Institut Ramon Casas i Carbó,,41.5901718,2.1770689,,,0,,,0.0
FYT_1780,1780,Rbla. del Sol - Escola Palau,,41.5933228,2.1772678,,,0,,,0.0
FYT_1790,1790,Gaig - Folch i Torres,,41.5961952,2.1858795,,,0,,,0.0
FYT_1800,1800,Camí de Can Llonc - Boters,,41.5758705,2.181766,,,0,,,0.0
FYT_1802,1802,Boters - Rajolers,,41.5726891,2.182024,,,0,,,0.0
FYT_1803,1803,Boters - Rajolers,,41.5726547,2.182163,,,0,,,0.0
FYT_1810,1810,Camí de Can Llonc - Boters,,41.5761299,2.1814733,,,0,,,0.0
FYT_1820,1820,Ctra. de Sentmenat - Can Costet,,41.5928879,2.1443572,,,0,,,0.0
FYT_1830,1830,Ctra. de Sentmenat - Can Costet,,41.5928917,2.1444421,,,0,,,0.0
FYT_1844,1844,Camí Reial - Pl. de l'Alzina,,41.5900955,2.1784279,,,0,,,0.0
FYT_1846,1846,Gaig - Guatlla,,41.599575,2.185946,,,0,,,0.0
FYT_2055,2055,Gaig - Pinsà,,41.5994568,2.1858611,,,0,,,0.0
FYT_2265,2265,Ctra. N-152a - Freser - La Moreneta,,41.5040779,2.1881247,,,0,,,0.0
FYT_2266,2266,Av. Onze de Setembre - Ajuntament,,41.5136871,2.1931834,,,0,,,0.0
FYT_2267,2267,Estació Rodalíes Sta. Perpètua de Mogoda,,41.5203896,2.1944466,,,0,,,0.0
FYT_2268,2268,Av. Tres nº 19 - Tres,,41.5231895,2.1930318,,,0,,,0.0
FYT_2269,2269,Av. Mn. Jacint Verdaguer - Berenguer d'Entença,,41.532692,2.1871691,,,0,,,0.0
FYT_2271,2271,Av. Mn. Jacint Verdaguer - Rambla,,41.5353394,2.1837831,,,0,,,0.0
