route_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible,service_id
CIN_555,CIN_05550010800,,,0,,CIN_0555001,0,0,CIN_05550010800
CIN_555,CIN_05550010835,,,0,,CIN_0555001,0,0,CIN_05550010835
CIN_555,CIN_05550010855,,,0,,CIN_0555001,0,0,CIN_05550010855
CIN_555,CIN_05550010945,,,0,,CIN_0555001,0,0,CIN_05550010945
CIN_555,CIN_05550010950,,,0,,CIN_0555001,0,0,CIN_05550010950
CIN_555,CIN_05550011015,,,0,,CIN_0555001,0,0,CIN_05550011015
CIN_555,CIN_05550011040,,,0,,CIN_0555001,0,0,CIN_05550011040
CIN_555,CIN_05550011050,,,0,,CIN_0555001,0,0,CIN_05550011050
CIN_555,CIN_05550011135,,,0,,CIN_0555001,0,0,CIN_05550011135
CIN_555,CIN_05550011205,,,0,,CIN_0555001,0,0,CIN_05550011205
CIN_555,CIN_05550011219,,,0,,CIN_0555001,0,0,CIN_05550011219
CIN_555,CIN_05550011245,,,0,,CIN_0555001,0,0,CIN_05550011245
CIN_555,CIN_05550011305,,,0,,CIN_0555001,0,0,CIN_05550011305
CIN_555,CIN_05550011310,,,0,,CIN_0555001,0,0,CIN_05550011310
CIN_555,CIN_05550011405,,,0,,CIN_0555001,0,0,CIN_05550011405
CIN_555,CIN_05550011420,,,0,,CIN_0555001,0,0,CIN_05550011420
CIN_555,CIN_05550011445,,,0,,CIN_0555001,0,0,CIN_05550011445
CIN_555,CIN_05550011515,,,0,,CIN_0555001,0,0,CIN_05550011515
CIN_555,CIN_05550011520,,,0,,CIN_0555001,0,0,CIN_05550011520
CIN_555,CIN_05550011545,,,0,,CIN_0555001,0,0,CIN_05550011545
CIN_555,CIN_05550011630,,,0,,CIN_0555001,0,0,CIN_05550011630
CIN_555,CIN_05550011635,,,0,,CIN_0555001,0,0,CIN_05550011635
CIN_555,CIN_05550011720,,,0,,CIN_0555001,0,0,CIN_05550011720
CIN_555,CIN_05550011735,,,0,,CIN_0555001,0,0,CIN_05550011735
CIN_555,CIN_05550011745,,,0,,CIN_0555001,0,0,CIN_05550011745
CIN_555,CIN_05550011830,,,0,,CIN_0555001,0,0,CIN_05550011830
CIN_555,CIN_05550011850,,,0,,CIN_0555001,0,0,CIN_05550011850
CIN_555,CIN_05550011910,,,0,,CIN_0555001,0,0,CIN_05550011910
CIN_555,CIN_05550011950,,,0,,CIN_0555001,0,0,CIN_05550011950
CIN_555,CIN_05550012005,,,0,,CIN_0555001,0,0,CIN_05550012005
CIN_555,CIN_05550012030,,,0,,CIN_0555001,0,0,CIN_05550012030
CIN_555,CIN_05550012105,,,0,,CIN_0555001,0,0,CIN_05550012105
CIN_555,CIN_05550012110,,,0,,CIN_0555001,0,0,CIN_05550012110
CIN_555,CIN_05550030545,,,0,,CIN_0555003,0,0,CIN_05550030545
CIN_555,CIN_05550030555,,,0,,CIN_0555003,0,0,CIN_05550030555
CIN_555,CIN_05550030655,,,0,,CIN_0555003,0,0,CIN_05550030655
CIN_555,CIN_05550070644,,,0,,CIN_0555007,0,0,CIN_05550070644
CIN_555,CIN_05550070751,,,0,,CIN_0555007,0,0,CIN_05550070751
CIN_555,CIN_05550070908,,,0,,CIN_0555007,0,0,CIN_05550070908
CIN_555,CIN_05550071015,,,0,,CIN_0555007,0,0,CIN_05550071015
CIN_555,CIN_05550071025,,,0,,CIN_0555007,0,0,CIN_05550071025
